id,value
NGI.Towards Data Sovereignty and Autonomy.user_data.feder_cartel,
NGI.Towards Data Sovereignty and Autonomy.user_data.messag_forward,
NGI.Towards Data Sovereignty and Autonomy.user_data.affirm_consent,
NGI.Towards Data Sovereignty and Autonomy.user_data.tijuana,
NGI.Towards Data Sovereignty and Autonomy.user_data.facebook,
NGI.Towards Data Sovereignty and Autonomy.user_data.alex_heath,
NGI.Towards Data Sovereignty and Autonomy.user_data.kurt_wagner,
NGI.Towards Data Sovereignty and Autonomy.user_data.caravan,
NGI.Trustworthy Information Flows,
NGI.Trustworthy Information Flows.ad_transpar,
NGI.Trustworthy Information Flows.ad_transpar.ad_transpar,
NGI.Trustworthy Information Flows.ad_transpar.polit_ad,
NGI.Trustworthy Information Flows.ad_transpar.ad_librari,
NGI.Trustworthy Information Flows.ad_transpar.facebook,
NGI.Trustworthy Information Flows.ad_transpar.polit_advertis,
NGI.Trustworthy Information Flows.ad_transpar.propublica,
NGI.Trustworthy Information Flows.ad_transpar.whotargetsm,
NGI.Trustworthy Information Flows.ad_transpar.lookalik_audienc,
NGI.Trustworthy Information Flows.ad_transpar.ad_placement,
NGI.Trustworthy Information Flows.ad_transpar.zuckerberg,
NGI.Trustworthy Information Flows.anti-vaccin,
NGI.Trustworthy Information Flows.anti-vaccin.conspiraci_theori,
NGI.Trustworthy Information Flows.anti-vaccin.anti-vaccin,
NGI.Trustworthy Information Flows.anti-vaccin.vaccin,
NGI.Trustworthy Information Flows.anti-vaccin.measl,
NGI.Trustworthy Information Flows.anti-vaccin.anti-vax,
NGI.Trustworthy Information Flows.anti-vaccin.theoris,
NGI.Trustworthy Information Flows.anti-vaccin.children_vaccin,
NGI.Trustworthy Information Flows.anti-vaccin.vaccin_hesit,
NGI.Trustworthy Information Flows.anti-vaccin.vaccine-prevent,
NGI.Trustworthy Information Flows.anti-vaccin.anti-vaxx,
NGI.Trustworthy Information Flows.censor_search,
NGI.Trustworthy Information Flows.censor_search.censor_search,
NGI.Trustworthy Information Flows.censor_search.project_dragonfli,
NGI.Trustworthy Information Flows.censor_search.hennessi,
NGI.Trustworthy Information Flows.censor_search.dragonfli,
NGI.Trustworthy Information Flows.censor_search.senior_softwar,
NGI.Trustworthy Information Flows.censor_search.site_reliabl,
NGI.Trustworthy Information Flows.censor_search.employe_protest,
NGI.Trustworthy Information Flows.censor_search.chines_censorship,
NGI.Trustworthy Information Flows.censor_search.googler,
NGI.Trustworthy Information Flows.censor_search.china,
NGI.Trustworthy Information Flows.censorship,
NGI.Trustworthy Information Flows.censorship.censorship,
NGI.Trustworthy Information Flows.censorship.netblock,
NGI.Trustworthy Information Flows.censorship.china,
NGI.Trustworthy Information Flows.censorship.toker,
NGI.Trustworthy Information Flows.censorship.facebook,
NGI.Trustworthy Information Flows.censorship.project_dragonfli,
NGI.Trustworthy Information Flows.censorship.vpn,
NGI.Trustworthy Information Flows.censorship.vpn_servic,
NGI.Trustworthy Information Flows.censorship.chines,
NGI.Trustworthy Information Flows.censorship.chines_govern,
NGI.Trustworthy Information Flows.conspiraci_theori,
NGI.Trustworthy Information Flows.conspiraci_theori.deepfak,
NGI.Trustworthy Information Flows.conspiraci_theori.conspiraci_theori,
NGI.Trustworthy Information Flows.conspiraci_theori.parcast,
NGI.Trustworthy Information Flows.conspiraci_theori.common_claus,
NGI.Trustworthy Information Flows.conspiraci_theori.fake_news,
NGI.Trustworthy Information Flows.conspiraci_theori.facebook,
NGI.Trustworthy Information Flows.conspiraci_theori.infowar,
NGI.Trustworthy Information Flows.conspiraci_theori.brian_soli,
NGI.Trustworthy Information Flows.conspiraci_theori.hamilton_68,
NGI.Trustworthy Information Flows.conspiraci_theori.origo,
NGI.Trustworthy Information Flows.content_crisi,
NGI.Trustworthy Information Flows.content_crisi.ww,
NGI.Trustworthy Information Flows.content_crisi.amaz_stori,
NGI.Trustworthy Information Flows.content_crisi.sqn,
NGI.Trustworthy Information Flows.content_crisi.latest_flagship,
NGI.Trustworthy Information Flows.content_crisi.fin7,
NGI.Trustworthy Information Flows.content_crisi.angle-of-attack,
NGI.Trustworthy Information Flows.content_crisi.team_human,
NGI.Trustworthy Information Flows.content_crisi.comput_intrus,
NGI.Trustworthy Information Flows.content_crisi.quiet_titl,
NGI.Trustworthy Information Flows.content_crisi.gordon_sondland,
NGI.Trustworthy Information Flows.deep_fake,
NGI.Trustworthy Information Flows.deep_fake.deep_fake,
NGI.Trustworthy Information Flows.deep_fake.yusupov,
NGI.Trustworthy Information Flows.deep_fake.anti-media,
NGI.Trustworthy Information Flows.deep_fake.polit_oper,
NGI.Trustworthy Information Flows.deep_fake.rasmussen,
NGI.Trustworthy Information Flows.deep_fake.r-fl,
NGI.Trustworthy Information Flows.deep_fake.influenc_campaign,
NGI.Trustworthy Information Flows.deep_fake.digit_gangster,
NGI.Trustworthy Information Flows.deep_fake.presid_trump,
NGI.Trustworthy Information Flows.deep_fake.nbc_news,
NGI.Trustworthy Information Flows.disinform,
NGI.Trustworthy Information Flows.disinform.disinform,
NGI.Trustworthy Information Flows.disinform.facebook,
NGI.Trustworthy Information Flows.disinform.comput_propaganda,
NGI.Trustworthy Information Flows.disinform.fake_news,
NGI.Trustworthy Information Flows.disinform.polici_violat,
NGI.Trustworthy Information Flows.disinform.fact-check,
NGI.Trustworthy Information Flows.disinform.senior_softwar,
NGI.Trustworthy Information Flows.disinform.ong,
NGI.Trustworthy Information Flows.disinform.fake_account,
NGI.Trustworthy Information Flows.disinform.site_reliabl,
NGI.Trustworthy Information Flows.disinform_campaign,
